,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother qualification,Father qualification,Mother occupation,Father occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
2708,1,5,3,9070,1,1,157.0,1,3,1,9,6,138.1,1,0,0,1,0,0,18,0,0,6,6,6,12.666666666666666,0,0,6,8,6,14.125,0,10.8,1.4,1.74,Graduate
2942,1,1,1,171,1,1,145.0,1,40,1,2,4,160.1,0,0,0,1,0,1,19,0,6,12,12,12,14.5,0,4,11,15,11,13.583333333333334,0,8.9,1.4,3.51,Graduate
116,1,17,1,9238,1,1,154.0,1,19,37,9,7,140.4,1,0,0,1,0,1,20,0,0,6,13,2,10.0,0,0,6,12,4,10.75,0,7.6,2.6,0.32,Enrolled
2314,1,1,1,9238,1,1,133.1,1,1,1,3,4,112.0,0,0,0,1,1,0,19,0,0,6,7,6,12.166666666666666,0,0,6,6,6,12.166666666666666,0,12.4,0.5,1.79,Graduate
3138,1,1,1,9773,1,1,136.0,1,19,19,4,3,126.2,0,0,0,1,0,0,19,0,0,6,6,6,13.166666666666666,0,0,6,6,6,15.0,0,16.2,0.3,-0.92,Graduate
3711,1,44,1,171,1,39,160.0,1,19,38,9,9,160.0,1,0,1,1,1,1,21,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Dropout
2735,1,1,1,9500,1,1,125.0,1,37,37,9,9,126.0,1,0,1,1,0,0,20,0,0,7,7,6,15.4,0,0,7,7,6,15.4,0,7.6,2.6,0.32,Graduate
3966,1,44,1,9003,1,39,140.0,1,19,19,9,4,140.0,0,0,0,1,0,0,21,0,0,6,12,3,10.666666666666666,2,0,6,12,4,12.0,0,15.5,2.8,-4.06,Dropout
610,1,1,2,9853,1,1,112.0,1,37,37,191,182,106.1,1,0,1,1,0,1,20,0,0,7,7,7,13.857142857142858,0,0,7,8,7,12.571428571428571,0,8.9,1.4,3.51,Graduate
2739,1,1,4,9085,1,1,145.0,1,37,1,9,9,145.0,1,0,0,1,0,1,19,0,0,5,7,4,14.5,0,0,5,5,5,13.6,0,10.8,1.4,1.74,Graduate
4130,1,1,5,9500,1,1,143.0,1,37,37,9,5,131.6,1,0,0,1,0,1,19,0,0,7,10,7,14.368,0,0,8,8,8,14.44875,0,15.5,2.8,-4.06,Graduate
3106,1,1,6,9500,1,1,141.0,1,1,38,4,5,125.0,1,0,0,1,0,1,18,0,0,8,8,8,12.32,0,0,8,8,8,12.32,0,9.4,-0.8,-3.12,Graduate
3792,1,18,1,9119,1,1,122.0,1,19,1,90,3,116.1,1,0,1,0,1,0,24,0,0,5,8,0,0.0,0,0,5,5,0,0.0,0,9.4,-0.8,-3.12,Dropout
221,2,1,4,9853,1,1,134.0,1,37,37,5,7,122.5,0,1,0,1,0,1,19,0,0,6,6,6,13.333333333333334,0,0,6,6,6,14.5,0,10.8,1.4,1.74,Graduate
3927,1,1,2,9773,1,1,130.0,1,38,37,5,3,122.3,1,0,1,0,0,0,18,0,0,6,8,6,14.142857142857142,0,0,6,6,5,12.0,0,13.9,-0.3,0.79,Dropout
2273,2,1,4,8014,0,1,140.0,1,34,34,0,0,128.0,1,0,0,1,1,0,37,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,9.4,-0.8,-3.12,Dropout
2479,1,1,2,9147,1,1,140.0,1,19,19,9,4,127.8,1,0,0,1,1,0,23,0,0,5,7,3,10.666666666666666,1,0,5,7,3,11.333333333333334,0,9.4,-0.8,-3.12,Dropout
2672,1,1,2,9254,1,1,120.0,1,19,1,9,8,117.2,0,0,0,1,1,0,21,0,0,6,8,3,12.0,0,0,6,9,1,11.0,0,15.5,2.8,-4.06,Dropout
2327,2,39,1,9991,0,1,110.0,1,37,37,1,4,120.0,1,0,0,0,1,0,40,0,0,5,10,2,10.5,0,0,5,5,3,10.666666666666666,0,9.4,-0.8,-3.12,Dropout
2652,1,1,1,9670,1,1,110.0,1,3,19,4,5,109.0,0,0,0,1,1,1,19,0,0,6,7,6,13.142857142857142,0,0,6,8,6,14.166666666666666,0,15.5,2.8,-4.06,Graduate
1291,1,1,1,9500,1,1,143.0,1,38,38,9,9,140.0,0,0,0,1,1,0,19,0,0,8,8,7,14.285714285714286,0,0,8,8,7,14.285714285714286,0,12.7,3.7,-1.7,Graduate
2675,1,1,1,9254,1,1,133.1,1,37,37,1,1,97.0,0,0,0,1,1,0,27,0,0,6,6,6,10.666666666666666,0,0,6,8,4,11.25,0,10.8,1.4,1.74,Enrolled
1567,1,1,2,9147,1,1,108.0,1,1,19,4,4,105.9,1,0,0,1,1,0,21,0,0,5,9,4,10.75,0,0,5,6,5,11.4,0,11.1,0.6,2.02,Graduate
224,1,18,1,9500,1,1,135.0,1,1,38,4,5,127.5,1,0,0,1,0,1,19,0,0,7,8,6,13.741666666666667,0,0,8,9,7,14.9125,0,16.2,0.3,-0.92,Graduate
2538,1,15,1,9670,1,1,130.0,26,42,1,2,7,130.0,0,1,1,1,0,0,20,1,0,6,6,6,13.5,0,0,6,9,5,13.0,0,8.9,1.4,3.51,Graduate
4125,1,43,1,9500,1,1,121.0,1,38,19,5,5,115.4,1,0,0,1,0,1,24,0,0,8,8,7,11.971428571428572,0,0,8,8,7,11.971428571428572,0,12.7,3.7,-1.7,Enrolled
1975,1,51,1,9070,1,1,143.0,1,1,1,4,4,120.0,1,0,0,1,0,0,21,0,3,10,10,10,13.0,0,5,11,11,10,11.4,0,11.1,0.6,2.02,Dropout
4223,1,17,2,9254,1,1,116.0,1,19,38,5,5,116.0,1,0,0,1,0,0,19,0,0,6,7,6,12.714285714285714,0,0,6,6,6,11.833333333333334,0,8.9,1.4,3.51,Graduate
1102,1,1,2,9853,1,1,121.0,1,38,38,7,5,120.0,1,0,0,1,0,0,18,0,0,6,10,3,12.0,0,0,6,8,4,10.25,0,10.8,1.4,1.74,Enrolled
1253,1,1,1,9238,1,1,126.0,1,38,38,7,8,126.7,1,0,0,1,0,0,19,0,0,6,11,4,12.75,0,0,6,7,6,11.333333333333334,0,7.6,2.6,0.32,Graduate
1309,1,1,3,9500,1,1,132.0,1,38,38,9,9,119.3,1,0,0,1,0,0,19,0,0,8,8,7,11.98857142857143,0,0,8,8,7,11.98857142857143,0,10.8,1.4,1.74,Graduate
1014,1,18,2,9147,1,1,102.0,1,37,38,191,143,101.7,1,0,0,1,0,1,20,0,0,5,6,5,11.8,0,0,5,6,5,11.6,0,8.9,1.4,3.51,Graduate
1082,1,51,1,9070,1,1,117.0,1,5,1,2,10,120.0,1,0,0,1,0,0,21,0,0,6,7,5,12.2,0,0,6,7,4,12.6,0,8.9,1.4,3.51,Enrolled
3749,1,1,4,9070,1,1,139.0,1,3,19,1,5,138.3,1,0,0,1,0,0,19,0,0,6,6,6,14.666666666666666,0,0,6,6,6,13.166666666666666,0,9.4,-0.8,-3.12,Graduate
972,2,39,2,9119,1,19,133.1,1,37,37,7,7,118.0,0,0,0,0,1,0,33,0,0,5,11,0,0.0,0,0,5,5,0,0.0,0,9.4,-0.8,-3.12,Dropout
4220,1,1,1,9670,1,1,133.1,1,34,38,0,4,147.0,0,0,0,1,0,0,22,0,0,5,6,2,12.5,0,0,5,5,0,0.0,0,9.4,-0.8,-3.12,Dropout
3683,1,18,1,171,1,1,110.0,1,19,2,5,5,117.7,1,0,1,1,1,1,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.4,0.5,1.79,Graduate
518,4,39,1,8014,0,19,133.1,1,34,34,0,0,100.0,0,0,0,1,0,0,48,0,0,6,11,1,10.0,0,0,6,11,1,11.0,0,9.4,-0.8,-3.12,Dropout
818,1,17,2,9500,1,1,132.0,1,19,37,3,5,125.4,1,0,0,0,0,1,20,0,0,7,7,7,13.462857142857144,0,0,8,10,7,13.164285714285716,0,11.1,0.6,2.02,Enrolled
1748,1,39,1,9003,1,1,110.0,1,1,1,9,4,120.0,0,0,1,0,1,0,27,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,13.9,-0.3,0.79,Dropout
878,1,1,2,9670,1,1,135.0,1,19,19,7,10,121.4,0,0,0,1,1,0,19,0,0,5,7,3,12.333333333333334,0,0,5,5,5,11.6,0,9.4,-0.8,-3.12,Graduate
3434,1,1,1,9773,1,1,143.0,1,1,38,8,8,136.7,1,0,0,1,0,1,18,0,0,6,6,6,13.833333333333334,0,0,6,6,6,14.0,0,11.1,0.6,2.02,Dropout
474,1,39,1,9254,1,9,133.1,1,34,34,0,0,110.0,1,0,0,0,0,0,28,0,0,5,10,0,0.0,0,0,5,10,0,0.0,0,7.6,2.6,0.32,Dropout
4304,1,1,1,9147,1,1,148.0,1,19,1,7,5,138.3,1,0,0,1,1,0,19,0,0,5,6,4,13.75,0,0,5,5,0,0.0,0,12.4,0.5,1.79,Dropout
129,1,17,6,9500,1,1,132.0,1,1,37,8,9,128.0,1,0,0,1,0,0,19,0,0,7,7,7,13.467142857142855,0,0,8,9,8,15.011111111111113,0,12.4,0.5,1.79,Graduate
3158,1,17,1,9254,1,1,121.0,1,1,1,4,4,123.1,1,0,0,1,1,0,21,0,0,6,11,6,11.166666666666666,0,0,6,14,3,14.666666666666666,0,7.6,2.6,0.32,Enrolled
132,1,1,4,9147,1,1,126.0,1,1,19,4,8,120.1,1,0,0,1,0,0,19,0,0,5,7,5,12.4,0,0,5,5,5,14.6,0,8.9,1.4,3.51,Graduate
2853,1,18,3,9070,1,1,164.0,1,1,1,5,3,161.2,1,0,0,1,0,0,18,0,1,6,8,6,13.714285714285714,1,0,6,8,6,14.375,0,13.9,-0.3,0.79,Graduate
2088,1,1,3,9500,1,1,129.0,1,19,19,4,8,127.3,1,0,0,1,0,1,20,0,0,7,7,6,12.633333333333333,0,0,7,7,6,12.633333333333333,0,7.6,2.6,0.32,Graduate
2112,1,1,2,9556,1,1,136.0,1,19,19,9,9,129.5,1,0,0,1,0,0,18,0,0,7,9,7,15.155555555555557,0,0,8,8,8,16.8,0,12.7,3.7,-1.7,Graduate
1519,1,39,1,9147,1,12,133.1,1,1,1,9,4,140.0,1,0,1,0,1,0,24,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout
3150,1,1,1,9130,1,1,117.0,1,1,1,9,9,109.3,1,0,0,1,0,0,20,0,0,5,10,4,12.5,0,0,5,12,2,13.0,0,12.7,3.7,-1.7,Enrolled
3021,1,1,1,9500,1,1,147.0,1,3,1,2,3,131.6,0,0,0,1,0,0,18,0,0,7,8,6,13.958333333333334,0,0,8,8,8,14.71875,0,11.1,0.6,2.02,Graduate
4243,1,1,1,9070,1,1,132.0,1,4,39,2,2,136.6,1,0,0,1,0,0,18,0,1,6,10,6,11.714285714285714,1,0,6,15,6,10.375,0,13.9,-0.3,0.79,Enrolled
1087,1,1,1,9773,1,1,133.1,1,38,19,132,103,146.0,0,0,1,1,0,0,20,0,0,6,6,5,11.0,0,0,6,6,6,13.166666666666666,0,16.2,0.3,-0.92,Graduate
549,1,17,2,9147,1,1,125.0,1,19,38,9,7,116.3,1,0,0,1,1,0,19,0,0,5,8,5,13.25,0,0,5,8,5,11.0,0,13.9,-0.3,0.79,Graduate
227,1,1,1,9238,1,1,135.0,1,1,1,9,9,133.3,0,0,0,1,0,1,20,0,0,6,6,6,12.0,0,0,6,7,6,12.857142857142858,0,11.1,0.6,2.02,Graduate
3449,1,1,2,9500,1,1,138.0,1,3,3,2,2,127.5,1,0,0,1,0,1,18,0,0,7,7,7,14.485714285714286,0,0,8,9,8,14.58888888888889,0,16.2,0.3,-0.92,Graduate
641,1,1,6,9147,1,1,128.0,1,37,37,9,9,116.5,0,0,0,1,0,0,18,0,0,5,9,3,11.666666666666666,0,0,5,15,2,11.0,0,7.6,2.6,0.32,Enrolled
1530,4,39,1,9003,1,1,133.1,1,19,19,9,4,100.7,0,0,0,1,0,0,39,0,0,6,15,2,13.0,2,0,6,13,3,13.0,1,15.5,2.8,-4.06,Enrolled
3520,1,43,1,9991,0,4,160.0,1,3,3,2,1,125.0,0,0,0,1,1,0,26,0,0,5,7,5,12.6,0,0,5,7,5,13.714285714285714,0,13.9,-0.3,0.79,Graduate
3765,1,1,1,9500,1,1,141.0,1,37,38,6,6,125.6,1,0,0,1,0,1,22,0,0,7,9,6,13.081666666666669,0,0,8,12,6,13.15,0,11.1,0.6,2.02,Graduate
1206,1,43,2,9500,1,1,120.0,1,37,34,90,0,121.5,0,0,1,1,0,0,22,0,11,14,14,12,12.333333333333334,2,11,14,14,12,12.333333333333334,2,7.6,2.6,0.32,Graduate
139,1,18,1,9500,1,1,178.0,1,19,1,4,8,174.7,0,0,0,1,0,0,18,0,0,7,8,7,17.125,0,0,8,8,8,17.5875,0,13.9,-0.3,0.79,Graduate
4091,1,43,1,9991,0,1,140.0,1,37,38,9,8,135.5,0,0,1,0,0,0,29,0,0,5,15,2,13.25,0,0,5,12,3,12.6,3,16.2,0.3,-0.92,Dropout
1,1,15,1,9254,1,1,160.0,1,1,3,3,3,142.5,1,0,0,0,1,0,19,0,0,6,6,6,14.0,0,0,6,6,6,13.666666666666666,0,13.9,-0.3,0.79,Graduate
3519,1,43,1,9991,0,1,120.0,1,37,37,9,9,120.0,1,0,1,1,1,0,34,0,6,10,10,7,11.714285714285714,0,4,10,10,6,11.5,0,10.8,1.4,1.74,Dropout
2959,5,39,1,9254,1,1,133.1,1,2,2,2,2,103.0,0,0,0,1,0,0,62,0,0,6,7,6,15.0,0,0,6,10,6,12.833333333333334,0,10.8,1.4,1.74,Graduate
3654,1,1,1,9773,1,1,135.0,1,1,19,4,10,129.4,1,0,0,1,0,0,18,0,0,6,6,6,12.833333333333334,0,0,6,7,6,12.166666666666666,0,11.1,0.6,2.02,Graduate
3621,1,1,1,9500,1,1,141.0,1,1,19,3,3,131.9,1,0,0,1,0,1,18,0,0,7,7,7,15.101428571428572,0,0,8,8,8,16.09375,0,11.1,0.6,2.02,Graduate
2099,1,17,2,9254,1,1,123.0,1,19,19,5,5,113.2,1,0,1,1,0,0,19,0,0,6,10,6,12.166666666666666,0,0,6,8,5,11.666666666666666,0,16.2,0.3,-0.92,Dropout
237,1,17,2,9238,1,1,133.0,1,37,37,3,9,119.7,0,1,0,1,0,1,18,0,0,6,9,6,11.333333333333334,0,0,6,9,6,11.571428571428571,0,15.5,2.8,-4.06,Graduate
1701,1,1,1,9773,1,1,137.0,1,1,1,5,5,129.3,1,0,0,1,1,0,18,0,0,6,6,6,13.666666666666666,0,0,6,6,6,14.5,0,12.7,3.7,-1.7,Graduate
3112,1,17,4,9254,1,1,124.0,1,1,1,4,4,122.3,1,0,0,1,0,0,19,0,0,6,7,6,11.666666666666666,0,0,6,6,6,12.333333333333334,0,13.9,-0.3,0.79,Dropout
2429,1,42,1,9119,1,1,120.0,1,34,34,0,0,128.2,1,0,0,1,1,0,35,0,6,10,12,7,11.285714285714286,0,2,8,8,5,13.0,0,9.4,-0.8,-3.12,Dropout
1617,1,39,1,8014,0,1,120.0,1,37,1,7,4,95.0,1,0,0,1,0,0,24,0,0,6,8,5,11.4,0,0,6,8,5,11.8,0,15.5,2.8,-4.06,Dropout
309,1,44,1,9130,1,39,120.0,1,37,37,7,8,120.0,1,0,1,0,0,0,19,0,2,6,7,5,11.6,0,1,6,12,2,11.0,0,12.4,0.5,1.79,Dropout
2220,1,39,1,9500,1,1,130.0,1,1,1,4,9,150.0,0,0,0,1,1,0,24,0,0,8,8,7,12.742857142857144,0,0,8,8,7,12.742857142857144,0,12.7,3.7,-1.7,Graduate
4213,1,1,1,9238,1,1,133.1,1,19,37,9,9,130.0,0,0,0,0,0,1,20,0,0,6,10,5,13.4,0,0,6,9,5,11.4,0,10.8,1.4,1.74,Graduate
3686,1,1,1,9147,1,1,133.1,1,34,34,0,0,125.3,0,0,0,1,1,0,26,0,11,15,15,11,10.818181818181818,0,12,14,15,11,11.636363636363637,1,7.6,2.6,0.32,Dropout
1895,1,1,1,9070,1,1,124.0,1,19,19,7,9,132.1,1,0,0,1,0,0,19,0,0,6,10,2,10.5,0,0,6,6,3,11.0,0,7.6,2.6,0.32,Enrolled
946,1,1,1,9147,1,1,156.0,1,3,19,3,3,151.1,0,0,1,1,1,0,19,0,0,5,7,5,13.6,0,0,5,11,5,12.833333333333334,5,16.2,0.3,-0.92,Graduate
3152,1,17,1,9773,1,1,177.0,1,2,1,123,135,155.7,0,0,1,1,0,1,18,0,0,6,6,6,15.666666666666666,0,0,6,6,6,13.833333333333334,0,8.9,1.4,3.51,Graduate
3330,1,1,1,9238,1,1,133.0,1,1,19,9,9,132.0,0,0,0,1,1,1,20,0,0,6,11,5,11.142857142857142,0,0,6,9,6,11.571428571428571,0,16.2,0.3,-0.92,Graduate
176,1,39,1,9853,1,1,130.0,1,37,19,9,5,102.5,0,0,0,1,0,0,27,0,0,6,9,5,13.2,0,0,6,10,5,12.0,0,7.6,2.6,0.32,Graduate
3338,1,39,1,9085,1,1,133.1,1,37,36,90,7,128.2,0,0,0,1,1,0,28,0,0,5,8,3,12.0,0,0,5,10,3,11.333333333333334,0,7.6,2.6,0.32,Dropout
562,1,39,1,9991,0,1,139.0,1,1,1,4,10,140.7,0,0,0,1,1,0,25,0,0,5,13,1,10.0,0,0,5,8,2,11.333333333333334,0,12.4,0.5,1.79,Dropout
248,1,1,3,9254,1,1,121.0,1,19,37,4,7,116.8,1,0,0,1,0,0,21,0,0,6,8,6,11.333333333333334,0,0,6,8,4,12.25,0,11.1,0.6,2.02,Graduate
3525,1,44,1,9003,1,39,140.0,1,19,38,6,7,140.0,1,0,0,1,1,0,19,0,0,6,8,6,12.714285714285714,0,0,6,9,6,13.5,0,12.4,0.5,1.79,Graduate
2102,1,1,6,9500,1,1,138.0,1,37,37,9,8,127.2,1,0,0,1,0,1,18,0,0,7,8,7,13.26,0,0,8,8,8,14.28625,0,15.5,2.8,-4.06,Graduate
2432,1,1,3,9773,1,1,146.0,1,38,38,9,7,134.1,1,0,0,1,1,1,18,0,0,6,6,6,12.5,0,0,6,7,6,12.666666666666666,0,10.8,1.4,1.74,Dropout
2970,1,43,2,9238,1,1,133.1,1,19,19,4,5,120.6,1,0,0,1,0,0,24,0,6,10,16,10,12.5,0,2,7,9,4,12.6,0,16.2,0.3,-0.92,Graduate
790,1,17,1,9773,1,1,138.0,1,1,19,9,9,124.0,0,0,0,1,0,1,19,0,0,6,6,6,13.166666666666666,0,0,6,6,6,13.833333333333334,0,11.1,0.6,2.02,Graduate
2676,2,42,1,9556,1,1,110.0,1,37,37,9,6,140.0,0,0,0,1,1,0,43,0,0,7,7,0,0.0,0,0,8,13,2,13.15,0,16.2,0.3,-0.92,Dropout
884,1,16,2,9500,1,1,127.0,1,2,38,4,9,119.0,1,0,0,1,0,1,19,0,0,8,12,7,12.599999999999998,0,0,8,12,7,12.599999999999998,0,10.8,1.4,1.74,Graduate
3703,1,39,1,9119,1,1,133.1,1,37,37,9,9,101.6,0,0,0,1,1,1,30,0,0,5,11,0,0.0,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout
2456,1,39,1,9070,1,1,110.0,1,37,37,7,7,110.2,0,0,0,1,1,0,55,0,0,6,6,6,14.5,0,0,6,6,6,13.5,0,11.1,0.6,2.02,Graduate
2678,1,44,1,9003,1,39,140.0,1,38,1,134,134,140.0,1,0,1,1,1,0,26,0,0,6,6,0,0.0,0,0,6,7,0,0.0,0,8.9,1.4,3.51,Enrolled
1586,1,1,1,9147,1,1,132.0,1,38,37,7,7,131.3,1,0,0,1,0,0,18,0,0,5,8,4,12.0,0,0,5,8,4,12.25,0,9.4,-0.8,-3.12,Enrolled
2470,1,44,1,9130,1,39,150.0,1,5,1,2,5,150.0,1,0,0,1,1,0,19,0,1,6,13,5,11.6,0,1,6,12,2,11.0,0,13.9,-0.3,0.79,Enrolled
1961,1,18,1,9500,1,1,128.0,1,19,1,9,4,125.8,0,0,0,1,0,1,20,0,0,8,8,0,0.0,8,0,8,8,0,0.0,8,9.4,-0.8,-3.12,Enrolled
2909,1,44,1,9003,1,1,140.0,1,1,19,3,9,140.0,1,0,1,0,0,0,23,0,0,6,13,5,11.6,0,0,6,11,4,12.25,0,12.4,0.5,1.79,Dropout
122,1,1,1,171,1,1,137.0,1,3,19,2,9,122.3,0,0,0,1,0,0,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout
164,1,17,2,9670,1,1,124.0,1,1,19,5,4,124.4,0,0,0,1,0,0,19,0,0,5,5,5,14.2,0,0,5,5,5,14.2,0,7.6,2.6,0.32,Graduate
3312,1,51,1,9070,1,12,133.1,1,37,19,3,7,106.6,0,0,1,1,0,0,31,0,2,6,8,5,11.0,0,4,6,12,6,10.166666666666666,0,8.9,1.4,3.51,Enrolled
3175,2,39,1,33,1,1,120.0,1,38,1,9,5,153.8,0,0,1,1,1,0,35,0,0,7,9,0,0.0,0,0,7,8,0,0.0,0,11.1,0.6,2.02,Dropout
1328,1,1,4,9500,1,1,123.0,1,1,1,3,3,113.6,1,0,0,1,0,0,21,0,0,7,8,7,14.69625,0,0,8,9,8,14.622222222222224,0,12.4,0.5,1.79,Graduate
4055,1,39,1,9085,1,1,133.1,1,3,19,2,9,110.0,0,0,0,1,0,0,28,0,0,6,15,4,12.0,0,0,6,14,4,12.0,0,11.1,0.6,2.02,Dropout
952,1,44,1,9003,1,39,140.0,1,1,19,4,8,140.0,0,0,0,1,1,0,20,0,0,6,7,6,13.571428571428571,0,0,6,6,6,12.666666666666666,0,12.4,0.5,1.79,Graduate
3292,1,1,1,9238,1,1,170.0,1,37,37,0,0,150.8,1,0,0,1,0,0,27,0,0,6,13,2,11.0,0,0,6,14,1,11.0,0,7.6,2.6,0.32,Dropout
504,1,1,2,9500,1,1,135.0,1,37,1,7,7,132.8,1,0,0,1,0,1,18,0,0,8,12,7,11.721428571428572,0,0,8,12,7,11.721428571428572,0,12.7,3.7,-1.7,Graduate
4174,1,1,1,9238,1,1,163.0,1,37,37,5,6,155.0,0,0,0,1,0,1,21,0,0,6,6,6,13.333333333333334,0,0,6,8,6,13.166666666666666,0,9.4,-0.8,-3.12,Graduate
4359,1,1,4,9238,1,1,130.0,1,1,19,4,5,124.8,1,0,0,1,0,0,19,0,0,6,6,6,13.0,0,0,6,8,5,13.4,0,8.9,1.4,3.51,Graduate
4150,1,1,1,9773,1,1,159.0,1,34,26,0,6,160.1,1,0,0,1,0,0,18,0,0,6,6,6,15.166666666666666,0,0,6,7,6,14.857142857142858,0,7.6,2.6,0.32,Graduate
3300,1,1,1,171,1,1,138.0,1,19,19,5,1,130.7,1,0,0,1,0,0,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,13.9,-0.3,0.79,Dropout
3297,1,39,1,9500,1,1,130.0,1,19,19,3,7,129.0,0,0,1,0,0,0,26,0,0,7,11,4,12.86,0,0,7,10,5,11.566666666666668,0,12.4,0.5,1.79,Dropout
4198,1,5,1,9853,1,1,119.0,1,1,38,5,8,118.3,1,0,0,1,0,0,22,0,0,6,11,3,15.0,0,0,6,11,4,10.25,0,9.4,-0.8,-3.12,Enrolled
1969,1,1,4,9670,1,1,133.0,1,1,2,4,7,121.1,1,0,0,1,0,0,18,0,0,6,7,6,13.666666666666666,0,0,6,9,5,15.4,0,13.9,-0.3,0.79,Graduate
3347,1,39,1,9147,1,12,133.1,1,37,37,9,9,140.0,0,0,0,1,1,0,29,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,9.4,-0.8,-3.12,Dropout
2716,2,39,2,9556,1,1,110.0,1,19,38,9,9,112.8,0,0,0,1,0,1,26,0,0,7,7,0,0.0,0,0,8,8,0,0.0,6,10.8,1.4,1.74,Enrolled
1397,1,44,1,9070,1,39,150.0,1,12,37,3,9,147.7,0,0,1,1,0,1,22,0,2,7,7,7,13.571428571428571,0,5,9,9,9,13.77777777777778,0,12.4,0.5,1.79,Graduate
2018,1,1,1,9254,1,1,100.0,1,19,19,5,5,101.8,1,0,0,1,0,0,21,0,0,6,8,5,11.6,0,0,6,6,5,13.0,0,12.4,0.5,1.79,Enrolled
3856,1,39,1,9254,1,1,150.0,1,37,37,9,9,115.0,0,0,0,1,1,0,36,0,0,6,8,6,13.571428571428571,0,0,6,9,5,13.2,0,12.7,3.7,-1.7,Graduate
1302,1,44,1,171,1,39,140.0,1,3,3,2,2,140.0,0,0,1,1,1,0,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Graduate
1496,1,43,1,9556,1,1,130.0,1,1,37,5,5,128.0,1,0,0,1,1,0,20,0,0,7,8,7,13.585714285714284,0,0,8,8,8,14.6875,0,15.5,2.8,-4.06,Graduate
3740,1,51,1,9670,1,1,133.1,1,3,1,3,10,116.2,0,0,0,1,1,0,24,0,0,6,11,5,12.857142857142858,0,0,6,12,5,13.666666666666666,0,11.1,0.6,2.02,Dropout
4157,1,1,5,9130,1,1,160.0,1,3,1,2,9,150.2,1,0,0,1,0,0,19,0,0,5,13,1,13.0,0,0,5,7,2,12.5,0,12.7,3.7,-1.7,Dropout
3410,1,5,1,9670,1,1,135.0,1,1,12,4,4,140.3,1,0,0,1,0,0,19,0,0,6,7,6,13.428571428571429,0,0,6,6,4,14.0,0,12.4,0.5,1.79,Enrolled
2669,1,39,1,8014,0,1,133.1,1,37,38,9,9,148.5,0,0,0,1,1,0,34,0,0,6,6,4,12.25,0,0,5,5,0,0.0,0,11.1,0.6,2.02,Dropout
3501,1,39,1,9070,1,1,140.0,1,37,37,9,10,118.0,0,0,1,1,1,1,45,0,0,6,6,6,13.5,0,0,6,6,0,0.0,0,16.2,0.3,-0.92,Dropout
850,1,1,6,9500,1,1,133.0,1,3,3,1,1,126.2,1,0,0,1,0,0,19,0,0,7,9,7,13.761111111111113,0,0,8,11,7,12.82375,0,15.5,2.8,-4.06,Graduate
2755,1,7,1,9238,1,40,130.0,1,37,37,5,5,130.0,0,0,0,1,1,0,37,0,11,16,23,15,11.733333333333333,0,6,11,17,9,11.88888888888889,0,15.5,2.8,-4.06,Graduate
3022,1,17,1,9853,1,1,140.0,1,38,19,4,10,122.3,1,0,0,1,0,0,19,0,0,6,9,4,13.0,0,0,6,9,4,12.25,0,12.7,3.7,-1.7,Dropout
2253,1,39,1,9119,1,12,133.1,1,34,34,0,0,95.1,0,0,0,0,1,0,49,0,0,5,5,0,0.0,0,0,5,6,0,0.0,0,10.8,1.4,1.74,Dropout
2798,1,42,1,9500,1,1,150.0,1,19,1,9,3,110.0,1,0,0,1,1,1,33,0,6,14,20,14,13.072857142857144,6,6,14,20,14,13.072857142857144,6,9.4,-0.8,-3.12,Graduate
3456,1,7,1,9238,1,3,140.0,1,37,37,9,9,140.0,1,0,0,1,0,0,36,0,10,14,21,13,13.071428571428571,0,4,11,16,11,13.0,0,16.2,0.3,-0.92,Graduate
3167,1,39,1,9991,0,1,150.0,1,19,38,9,8,140.9,0,1,0,1,0,0,24,0,0,5,7,3,10.666666666666666,0,0,5,7,3,10.5,0,10.8,1.4,1.74,Dropout
56,2,7,1,9254,1,3,130.0,1,1,3,4,3,130.0,0,0,0,1,0,0,39,0,0,6,10,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Dropout
